,날짜,시가,고가,저가,종가,거래량,종목코드,종목명
225,2021-08-31,94200,95100,91600,95100,400963,010950,S-Oil
226,2021-08-30,54900,55700,54100,55300,13333,010955,S-Oil우
227,2021-08-31,55300,55300,54600,55200,9105,010955,S-Oil우
228,2021-08-30,50700,51100,49500,50800,124571,034120,SBS
229,2021-08-31,51000,51500,50200,50700,73234,034120,SBS
230,2021-08-30,2150,2220,2140,2200,536701,101060,SBS미디어홀딩스
231,2021-08-31,2200,2210,2175,2190,163866,101060,SBS미디어홀딩스
232,2021-08-30,46400,47100,46350,46900,36045,005090,SGC에너지
233,2021-08-31,47000,47050,46150,46950,42487,005090,SGC에너지
234,2021-08-30,2760,2775,2700,2735,141430,001380,SG글로벌
235,2021-08-31,2725,2725,2660,2690,153907,001380,SG글로벌
236,2021-08-30,739,754,739,752,615715,004060,SG세계물산
237,2021-08-31,752,755,743,750,289055,004060,SG세계물산
238,2021-08-30,30050,31650,30050,31400,23867,001770,SHD
239,2021-08-31,31400,31550,30700,31500,13610,001770,SHD
240,2021-08-30,1010,1025,1000,1020,504871,002360,SH에너지화학
241,2021-08-31,1015,1055,1010,1025,1890166,002360,SH에너지화학
242,2021-08-30,6900,6940,6700,6730,504282,009160,SIMPAC
243,2021-08-31,6730,6730,6490,6620,314133,009160,SIMPAC
244,2021-08-30,4585,4765,4585,4715,55730,123700,SJM
245,2021-08-31,4715,4820,4690,4775,46392,123700,SJM
246,2021-08-30,3920,3965,3895,3940,32197,025530,SJM홀딩스
247,2021-08-31,3940,4000,3875,3955,36297,025530,SJM홀딩스
248,2021-08-30,262500,263500,258000,258500,218033,034730,SK
249,2021-08-31,258000,263500,256000,263500,237998,034730,SK
250,2021-08-30,151500,152000,139500,147500,1213175,011790,SKC
251,2021-08-31,154000,160000,151000,159500,897526,011790,SKC
252,2021-08-30,118000,119500,116500,119500,11927,018670,SK가스
253,2021-08-31,119500,121000,118500,119500,11065,018670,SK가스
254,2021-08-30,5620,5650,5560,5590,435556,001740,SK네트웍스
255,2021-08-31,5590,5620,5540,5560,510317,001740,SK네트웍스
256,2021-08-30,104500,108000,104500,107000,67,001745,SK네트웍스우
257,2021-08-31,107000,108000,105500,108000,100,001745,SK네트웍스우
258,2021-08-30,48300,48450,47700,47850,74455,006120,SK디스커버리
259,2021-08-31,48150,48200,47650,47900,78142,006120,SK디스커버리
260,2021-08-30,40850,41100,40000,40600,13542,006125,SK디스커버리우
261,2021-08-31,40300,41350,40050,40200,23952,006125,SK디스커버리우
262,2021-08-30,39000,39100,38300,38550,76571,210980,SK디앤디
263,2021-08-31,38550,38900,37950,38600,76189,210980,SK디앤디
264,2021-08-30,12150,12650,12100,12550,159470,068400,SK렌터카
265,2021-08-31,12550,12800,12350,12700,123722,068400,SK렌터카
266,2021-08-30,285000,300000,279000,299500,929728,302440,SK바이오사이언스
267,2021-08-31,307500,325000,298500,313500,3166495,302440,SK바이오사이언스
268,2021-08-30,122000,123000,120500,121500,146824,326030,SK바이오팜
269,2021-08-31,122500,125500,122000,125500,337476,326030,SK바이오팜
270,2021-08-30,217000,218000,208000,209000,339030,361610,SK아이이테크놀로지
271,2021-08-31,210000,212500,204500,207500,1528490,361610,SK아이이테크놀로지
272,2021-08-30,249500,249500,244000,245000,2171,03473K,SK우
273,2021-08-31,245000,246500,242000,245000,3248,03473K,SK우
274,2021-08-30,242000,243000,238000,240500,261434,096770,SK이노베이션
275,2021-08-31,240500,249500,240000,249500,788936,096770,SK이노베이션
276,2021-08-30,151000,151500,149500,151000,4577,096775,SK이노베이션우
277,2021-08-31,151500,156000,150500,154500,10188,096775,SK이노베이션우
278,2021-08-30,933,933,917,922,1560505,001510,SK증권
279,2021-08-31,920,924,907,921,1974841,001510,SK증권
280,2021-08-30,4270,4275,4250,4275,6959,001515,SK증권우
281,2021-08-31,4240,4280,4220,4280,8357,001515,SK증권우
282,2021-08-30,267500,270000,262000,266500,134282,285130,SK케미칼
283,2021-08-31,270000,275000,267000,270000,170368,285130,SK케미칼
284,2021-08-30,136000,136000,129500,132000,85863,28513K,SK케미칼우
285,2021-08-31,135000,141000,132000,133000,80250,28513K,SK케미칼우
286,2021-08-30,292000,293500,288500,291500,365263,017670,SK텔레콤
287,2021-08-31,292000,305500,289500,298000,2566629,017670,SK텔레콤
288,2021-08-30,105000,105500,103500,103500,1815758,000660,SK하이닉스
289,2021-08-31,103500,106500,102000,106500,4886952,000660,SK하이닉스
290,2021-08-30,54900,55500,53600,54400,58612,064960,SNT모티브
291,2021-08-31,55000,55100,53600,54500,59584,064960,SNT모티브
292,2021-08-30,20400,20600,20250,20500,10051,100840,SNT에너지
293,2021-08-31,20500,20700,20250,20550,8364,100840,SNT에너지
294,2021-08-30,10200,10550,10200,10400,42275,003570,SNT중공업
295,2021-08-31,10500,10600,10250,10500,18944,003570,SNT중공업
296,2021-08-30,18550,18700,18400,18600,6582,036530,SNT홀딩스
297,2021-08-31,18800,18800,18500,18600,5640,036530,SNT홀딩스
298,2021-08-30,81400,81900,80300,81400,9475,005610,SPC삼립
299,2021-08-31,82000,82000,79600,81500,10365,005610,SPC삼립
300,2021-08-30,5210,5210,5050,5050,208852,011810,STX
301,2021-08-31,5080,5080,4950,4970,201621,011810,STX
302,2021-08-30,11400,11450,11100,11100,23789,077970,STX엔진
303,2021-08-31,11100,11350,10950,11100,21125,077970,STX엔진
304,2021-08-30,5890,5890,5730,5760,152626,071970,STX중공업
305,2021-08-31,5790,5810,5580,5640,189165,071970,STX중공업
306,2021-08-30,5900,6000,5760,5860,19978,002820,SUN&L
307,2021-08-31,5860,5900,5780,5830,12185,002820,SUN&L
308,2021-08-30,3035,3295,2970,3175,1969706,084870,TBH글로벌
309,2021-08-31,3165,3175,3070,3150,380201,084870,TBH글로벌
310,2021-08-30,8080,8230,7740,7870,968074,002710,TCC스틸
311,2021-08-31,7840,7930,7650,7830,472588,002710,TCC스틸
312,2021-08-30,2205,2230,2190,2195,1589960,002900,TYM
313,2021-08-31,2195,2205,2160,2165,1831657,002900,TYM
314,2021-08-30,4125,4180,4085,4100,49759,024070,WISCOM
315,2021-08-31,4190,4205,4090,4155,38307,024070,WISCOM
316,2021-08-30,7790,7870,7480,7530,1898451,037270,YG PLUS
317,2021-08-31,7530,8010,7480,7920,1994538,037270,YG PLUS
318,2021-08-30,30200,31050,29900,30850,18353,000500,가온전선
319,2021-08-31,31050,31200,30400,30750,8518,000500,가온전선
320,2021-08-30,26200,27050,26100,27050,23463,000860,강남제비스코
321,2021-08-31,27100,27150,26400,26900,14528,000860,강남제비스코
322,2021-08-30,27650,27900,27500,27700,740703,035250,강원랜드
323,2021-08-31,27800,27850,27200,27700,1020670,035250,강원랜드
324,2021-08-30,2225,2240,2175,2240,1133132,011420,갤럭시아에스엠
325,2021-08-31,2545,2780,2330,2390,14729407,011420,갤럭시아에스엠
326,2021-08-30,14950,15050,14750,14850,86432,002100,경농
327,2021-08-31,14850,14900,14650,14750,55504,002100,경농
328,2021-08-30,67100,67200,66000,66500,70777,009450,경동나비엔
329,2021-08-31,66700,67200,65800,67200,49135,009450,경동나비엔
330,2021-08-30,22100,22600,22000,22050,7468,267290,경동도시가스
331,2021-08-31,22050,22500,22050,22300,10941,267290,경동도시가스
332,2021-08-30,36850,37000,35100,36650,14067,012320,경동인베스트
333,2021-08-31,36400,37250,36400,37100,1573,012320,경동인베스트
334,2021-08-30,13450,13800,13350,13750,20505,000050,경방
335,2021-08-31,13750,13850,13400,13650,44684,000050,경방
336,2021-08-30,11950,12000,11700,11850,67073,214390,경보제약
337,2021-08-31,11850,12700,11550,12050,488594,214390,경보제약
338,2021-08-30,6860,6990,6850,6850,165984,012610,경인양행
339,2021-08-31,6890,6980,6860,6960,247353,012610,경인양행
340,2021-08-30,29000,29300,28350,29100,12576,009140,경인전자
341,2021-08-31,29100,29300,28500,29100,5303,009140,경인전자
342,2021-08-30,36500,39450,36500,39300,517383,013580,계룡건설
343,2021-08-31,39200,41600,38700,41250,534254,013580,계룡건설
344,2021-08-30,4680,4690,4625,4650,108476,012200,계양전기
345,2021-08-31,4680,4680,4565,4630,119871,012200,계양전기
346,2021-08-30,7960,8000,7920,8000,3715,012205,계양전기우
347,2021-08-31,8090,8090,7920,8000,2790,012205,계양전기우
348,2021-08-30,3755,3760,3690,3715,65544,002140,고려산업
349,2021-08-31,3750,3750,3620,3690,93593,002140,고려산업
350,2021-08-30,507000,511000,499500,506000,27819,010130,고려아연
351,2021-08-31,506000,536000,501000,532000,105203,010130,고려아연
352,2021-08-30,24150,27000,24150,26000,170269,002240,고려제강
353,2021-08-31,26000,27500,26000,27100,161712,002240,고려제강
354,2021-08-30,8220,8260,8180,8200,68648,009290,광동제약
355,2021-08-31,8200,8300,8190,8300,72018,009290,광동제약
356,2021-08-30,2930,2970,2910,2965,498878,017040,광명전기
357,2021-08-31,2965,2970,2850,2905,656789,017040,광명전기
358,2021-08-30,2770,2800,2735,2740,86216,017900,광전자
359,2021-08-31,2790,2790,2715,2740,98744,017900,광전자
360,2021-08-30,197500,205500,194500,204500,5935,037710,광주신세계
361,2021-08-31,206000,208000,203000,207500,3515,037710,광주신세계
362,2021-08-30,8560,8570,8430,8460,44941,030610,교보증권
363,2021-08-31,8460,8520,8390,8520,57781,030610,교보증권
364,2021-08-30,19200,19550,19050,19250,110351,339770,교촌에프앤비
365,2021-08-31,19250,19600,18950,19500,78856,339770,교촌에프앤비
366,2021-08-30,64600,65800,63900,64600,33644,007690,국도화학
367,2021-08-31,64600,65500,63300,65400,39619,007690,국도화학
368,2021-08-30,2600,2625,2520,2570,683438,005320,국동
369,2021-08-31,2540,2620,2520,2585,808258,005320,국동
370,2021-08-30,1375,1500,1375,1460,5220461,001140,국보
371,2021-08-31,1415,1450,1360,1420,2639336,001140,국보
372,2021-08-30,8660,8880,8280,8310,3334627,002720,국제약품
373,2021-08-31,8230,8300,8030,8180,858585,002720,국제약품
374,2021-08-30,11450,11550,11200,11300,81767,083420,그린케미칼
375,2021-08-31,11200,11350,11100,11300,92064,083420,그린케미칼
376,2021-08-30,4280,4295,4225,4265,94803,014530,극동유화
377,2021-08-31,4265,4265,4200,4260,87643,014530,극동유화
378,2021-08-30,8230,8540,8200,8400,198915,014280,금강공업
379,2021-08-31,8400,8520,8360,8500,103506,014280,금강공업
380,2021-08-30,15250,15250,14800,14800,10163,014285,금강공업우
381,2021-08-31,14950,14950,14650,14950,8301,014285,금강공업우
382,2021-08-30,74100,74800,73500,74600,587,008870,금비
383,2021-08-31,74600,75100,74000,75100,571,008870,금비
384,2021-08-30,4970,5080,4965,4975,173240,001570,금양
385,2021-08-31,5090,6130,5090,5660,16634442,001570,금양
386,2021-08-30,12800,13050,12650,13000,454160,002990,금호건설
387,2021-08-31,13300,13300,12800,13100,348242,002990,금호건설
388,2021-08-30,34000,34400,33700,33700,873,002995,금호건설우
389,2021-08-31,33950,33950,33150,33600,482,002995,금호건설우
